Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,experiment_type,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,Line,molecule_subtype
SRR8763814,RNA-Seq,50,1631219750,PRJNA528488,SAMN11191810,764415152,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554399,Random primed libraries,GSM3682430,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:26:00Z,1,GSM3682430,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6-FLAG:OsRPL18-2,polyA RNA
SRR8763815,RNA-Seq,50,1612041700,PRJNA528488,SAMN11191809,783595675,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554400,Random primed libraries,GSM3682431,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:24:00Z,1,GSM3682431,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,TRAP RNA
SRR8763816,RNA-Seq,50,1467290400,PRJNA528488,SAMN11191808,715819030,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554401,Random primed libraries,GSM3682432,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:23:00Z,1,GSM3682432,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,TRAP RNA
SRR8763817,RNA-Seq,50,1691207100,PRJNA528488,SAMN11191807,833143566,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554402,Random primed libraries,GSM3682433,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:24:00Z,1,GSM3682433,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,TRAP RNA
SRR8763818,RNA-Seq,50,1692621000,PRJNA528488,SAMN11191806,828497343,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554403,Random primed libraries,GSM3682434,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:24:00Z,1,GSM3682434,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,TRAP RNA
SRR8763819,RNA-Seq,50,2048203900,PRJNA528488,SAMN11191805,962959126,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554404,Random primed libraries,GSM3682435,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:26:00Z,1,GSM3682435,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,TRAP RNA
SRR8763820,RNA-Seq,50,1875231600,PRJNA528488,SAMN11191804,884984610,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554405,Random primed libraries,GSM3682436,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:25:00Z,1,GSM3682436,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,TRAP RNA
SRR8763821,RNA-Seq,50,1599861000,PRJNA528488,SAMN11191803,760776045,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554406,Random primed libraries,GSM3682437,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:25:00Z,1,GSM3682437,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,TRAP RNA
SRR8763822,RNA-Seq,50,1171280800,PRJNA528488,SAMN11191802,552438142,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554407,Random primed libraries,GSM3682438,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:21:00Z,1,GSM3682438,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,TRAP RNA
SRR8763823,RNA-Seq,51,1787780673,PRJNA528488,SAMN11191860,608597155,GEO,public,Oryza sativa japonica cv Nipponbare,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5554408,Ribosome footprints,GSM3682439,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,2019-09-20T00:00:00Z,2019-03-21T15:24:00Z,1,GSM3682439,7 days-old seedling 1 cm roots tips,SRP189094,7 days-old seedling 1 cm roots tips,35S:His6:FLAG:OsRPL18-2,Riboseq RNA
